  1: Lobby            (lvl. 0)
  2: Legendary Lounge (lvl. 0)
  3: Soda Brewery     (lvl. 1)
  4: Residential      (lvl. 2)
  5: Purple           (lvl. 2)
  6: Residential      (lvl. 2)
  7: Yellow           (lvl. 2)
  8: Blue             (lvl. 2)
  9: Residential      (lvl. 2)
 10: Green            (lvl. 2)
 11: Red              (lvl. 2)
 12: Purple           (lvl. 2)
 13: Residential      (lvl. 2)
 14: Yellow           (lvl. 2)
 15: Blue             (lvl. 2)
 16: Residential      (lvl. 2)
 17: Green            (lvl. 2)
 18: Red              (lvl. 2)
 19: Residential      (lvl. 2)
 20: Purple           (lvl. 2)
 21: Yellow           (lvl. 2)
 22: Blue             (lvl. 2)
 23: Residential      (lvl. 2)
 24: Green            (lvl. 2)
 25: Red              (lvl. 2)
 26: Residential      (lvl. 2)
 27: Purple           (lvl. 2)
 28: Yellow           (lvl. 2)
 29: Residential      (lvl. 2)
 30: Blue             (lvl. 2)
 31: Green            (lvl. 2)
 32: Red              (lvl. 2)
 33: Residential      (lvl. 2)
 34: Purple           (lvl. 2)
 35: Yellow           (lvl. 2)
 36: Residential      (lvl. 2)
 37: Blue             (lvl. 2)
 38: Green            (lvl. 2)
 39: Residential      (lvl. 2)
 40: Red              (lvl. 2)
 41: Purple           (lvl. 2)
 42: Yellow           (lvl. 2)
 43: Residential      (lvl. 2)
 44: Blue             (lvl. 2)
 45: Green            (lvl. 2)
 46: Residential      (lvl. 2)
 47: Red              (lvl. 2)
 48: Purple           (lvl. 2)
 49: Residential      (lvl. 2)
 50: Yellow           (lvl. 2)
 51: Blue             (lvl. 2)
 52: Green            (lvl. 2)
 53: Residential      (lvl. 2)
 54: Red              (lvl. 2)
 55: Purple           (lvl. 2)
 56: Residential      (lvl. 2)
 57: Yellow           (lvl. 2)
 58: Blue             (lvl. 2)
 59: Residential      (lvl. 2)
 60: Green            (lvl. 2)
 61: Red              (lvl. 2)
 62: Purple           (lvl. 2)
 63: Residential      (lvl. 2)
 64: Yellow           (lvl. 2)
 65: Blue             (lvl. 2)
 66: Residential      (lvl. 2)
 67: Green            (lvl. 2)
 68: Red              (lvl. 2)
 69: Residential      (lvl. 2)
 70: Purple           (lvl. 2)
 71: Yellow           (lvl. 2)
 72: Blue             (lvl. 2)
 73: Residential      (lvl. 2)
 74: Green            (lvl. 2)
 75: Red              (lvl. 2)
 76: Residential      (lvl. 2)
 77: Purple           (lvl. 2)
 78: Yellow           (lvl. 2)
 79: Residential      (lvl. 2)
 80: Blue             (lvl. 2)
 81: Green            (lvl. 2)
 82: Red              (lvl. 2)
 83: Residential      (lvl. 2)
 84: Purple           (lvl. 2)
 85: Yellow           (lvl. 2)
 86: Residential      (lvl. 2)
 87: Blue             (lvl. 2)
 88: Green            (lvl. 2)
 89: Residential      (lvl. 2)
 90: Red              (lvl. 2)
 91: Purple           (lvl. 2)
 92: Yellow           (lvl. 2)
 93: Residential      (lvl. 2)
 94: Blue             (lvl. 2)
 95: Green            (lvl. 2)
 96: Residential      (lvl. 2)
 97: Red              (lvl. 2)
 98: Purple           (lvl. 2)
 99: Residential      (lvl. 2)
100: Yellow           (lvl. 2)
101: Blue             (lvl. 2)
102: Green            (lvl. 2)
103: Residential      (lvl. 2)
104: Red              (lvl. 2)
105: Purple           (lvl. 2)
106: Residential      (lvl. 2)
107: Yellow           (lvl. 1)
108: Blue             (lvl. 1)
109: Residential      (lvl. 1)
110: Green            (lvl. 1)
111: Red              (lvl. 1)
112: Residential      (lvl. 1)
113: Purple           (lvl. 1)
114: Yellow           (lvl. 1)
115: Residential      (lvl. 1)
116: Blue             (lvl. 1)
117: Green            (lvl. 1)
118: Residential      (lvl. 1)
119: Red              (lvl. 1)
120: Purple           (lvl. 1)
121: Residential      (lvl. 1)
122: Yellow           (lvl. 1)
123: Blue             (lvl. 1)
124: Residential      (lvl. 1)
125: Green            (lvl. 1)
126: Red              (lvl. 1)
127: Residential      (lvl. 1)
128: Purple           (lvl. 1)
129: Yellow           (lvl. 1)
130: Residential      (lvl. 1)
131: Blue             (lvl. 1)
132: Green            (lvl. 1)
133: Residential      (lvl. 1)
134: Red              (lvl. 1)
135: Purple           (lvl. 1)
136: Residential      (lvl. 1)
137: Yellow           (lvl. 1)
138: Blue             (lvl. 1)
139: Residential      (lvl. 1)
140: Green            (lvl. 1)
141: Red              (lvl. 1)
142: Residential      (lvl. 1)
143: Purple           (lvl. 1)
144: Yellow           (lvl. 1)
145: Residential      (lvl. 1)
146: Blue             (lvl. 1)
147: Green            (lvl. 1)
148: Residential      (lvl. 1)
149: Red              (lvl. 1)
150: Purple           (lvl. 1)
151: Residential      (lvl. 1)
152: Yellow           (lvl. 1)
153: Blue             (lvl. 1)
154: Residential      (lvl. 1)
155: Green            (lvl. 1)
156: Red              (lvl. 1)
157: Residential      (lvl. 1)
158: Purple           (lvl. 1)
159: Yellow           (lvl. 1)
160: Residential      (lvl. 1)
161: Blue             (lvl. 1)
162: Green            (lvl. 1)
163: Residential      (lvl. 1)
164: Red              (lvl. 1)
165: Purple           (lvl. 1)
166: Residential      (lvl. 1)
167: Yellow           (lvl. 1)
168: Blue             (lvl. 1)
169: Residential      (lvl. 1)
170: Green            (lvl. 1)
171: Red              (lvl. 1)
172: Residential      (lvl. 1)
173: Purple           (lvl. 1)
174: Yellow           (lvl. 1)
175: Residential      (lvl. 1)
176: Blue             (lvl. 1)
177: Green            (lvl. 1)
178: Residential      (lvl. 1)
179: Red              (lvl. 1)
180: Purple           (lvl. 1)
181: Residential      (lvl. 1)
182: Yellow           (lvl. 1)
183: Blue             (lvl. 1)
184: Residential      (lvl. 1)
185: Green            (lvl. 1)
186: Red              (lvl. 1)
187: Residential      (lvl. 1)
188: Purple           (lvl. 1)
189: Yellow           (lvl. 1)
190: Residential      (lvl. 1)
191: Blue             (lvl. 1)
192: Green            (lvl. 1)
193: Residential      (lvl. 1)
194: Red              (lvl. 1)
195: Purple           (lvl. 1)
196: Residential      (lvl. 1)
197: Yellow           (lvl. 1)
198: Blue             (lvl. 1)
199: Residential      (lvl. 1)
200: Green            (lvl. 1)
201: Red              (lvl. 1)
202: Residential      (lvl. 1)
203: Purple           (lvl. 1)
204: Yellow           (lvl. 1)
205: Residential      (lvl. 1)
206: Blue             (lvl. 1)
207: Green            (lvl. 1)
208: Residential      (lvl. 1)
209: Red              (lvl. 1)
210: Purple           (lvl. 1)
211: Residential      (lvl. 1)
212: Yellow           (lvl. 1)
213: Blue             (lvl. 1)
214: Residential      (lvl. 1)
215: Green            (lvl. 1)
216: Red              (lvl. 1)
217: Residential      (lvl. 1)
218: Purple           (lvl. 1)
219: Yellow           (lvl. 1)
220: Residential      (lvl. 1)
221: Blue             (lvl. 1)
222: Green            (lvl. 1)
223: Residential      (lvl. 1)
224: Red              (lvl. 1)
225: Purple           (lvl. 1)
226: Residential      (lvl. 1)
227: Yellow           (lvl. 1)
228: Blue             (lvl. 1)
229: Residential      (lvl. 1)
230: Green            (lvl. 1)
231: Red              (lvl. 1)
232: Residential      (lvl. 1)
233: Purple           (lvl. 1)
234: Yellow           (lvl. 1)
235: Residential      (lvl. 1)
236: Blue             (lvl. 1)
237: Green            (lvl. 1)
238: Residential      (lvl. 1)
239: Red              (lvl. 1)
240: Purple           (lvl. 1)
241: Residential      (lvl. 1)
242: Yellow           (lvl. 1)
243: Blue             (lvl. 1)
244: Residential      (lvl. 1)
245: Green            (lvl. 1)
246: Red              (lvl. 1)
247: Residential      (lvl. 1)
248: Purple           (lvl. 1)
249: Yellow           (lvl. 1)
250: Residential      (lvl. 1)
